case_number,year,month,day,country,activity,species,type,people_involved,sex,fatal
2017.09.10.a,2017.0,9.0,10.0,AUS,Board_Activity,Great_White,Unprovoked,I,M,N
2017.09.06.R,2017.0,9.0,6.0,SLB,Spearfishing_Activity,Unknown,Unprovoked,I,M,N
2017.09.03.b,2017.0,9.0,3.0,ZAF,Shellfish_Hunting_Activity,Unknown,Unprovoked,I,M,Y
2017.09.03.a,2017.0,9.0,3.0,JPN,Board_Activity,Unknown,Unprovoked,I,M,N
2017.09.02.c,2017.0,9.0,2.0,USA,Swimming_Activity,Nurse,Unprovoked,I,M,N
2017.09.02.b,2017.0,9.0,2.0,USA,Swimming_Activity,Unknown,Unprovoked,I,F,N
2017.09.02.a,2017.0,9.0,2.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.08.29,2017.0,8.0,29.0,AUS,Board_Activity,Great_White,Unprovoked,I,M,N
2017.08.27,2017.0,8.0,27.0,USA,Wading_Activity,Unknown,Unprovoked,I,F,N
2017.08.26.a,2017.0,8.0,26.0,NZL,Paddle_Boat_Activity,Unknown,Unprovoked,I,M,N
2017.08.23,2017.0,8.0,23.0,USA,Board_Activity,Great_White,Unprovoked,I,M,N
2017.08.18,2017.0,8.0,18.0,BHS,Spearfishing_Activity,Unknown,Unprovoked,I,M,N
2017.08.10,2017.0,8.0,10.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2017.08.05,2017.0,8.0,5.0,EGY,Snorkeling_Activity,Oceanic_Whitetip,Unprovoked,I,F,N
2017.08.03,2017.0,8.0,3.0,USA,Fishing_Activity,Unknown,Provoked,I,M,N
2017.08.01,2017.0,8.0,1.0,USA,Paddle_Boat_Activity,Great_White,Boating,I,M,N
2017.07.31,2017.0,7.0,31.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.07.29.a,2017.0,7.0,29.0,USA,Unknown_Activity,Unknown,Unprovoked,I,F,N
2017.07.27,2017.0,7.0,27.0,BHS,Snorkeling_Activity,Unknown,Unprovoked,I,F,N
2017.07.26.R,2017.0,7.0,26.0,BHS,Spearfishing_Activity,Unknown,Unprovoked,I,M,N
2017.07.24,2017.0,7.0,24.0,OTH,Board_Activity,Unknown,Unprovoked,I,M,N
2017.07.23.b,2017.0,7.0,23.0,USA,Unknown_Activity,Sand_Tiger,Unprovoked,I,F,N
2017.07.23.a,2017.0,7.0,23.0,ESP,Swimming_Activity,Great_Blue,Unprovoked,I,F,N
2017.07.22,2017.0,7.0,22.0,USA,Unknown_Activity,Unknown,Unprovoked,I,F,N
2017.07.20.b,2017.0,7.0,20.0,USA,Paddle_Boat_Activity,Great_White,Boating,I,M,N
2017.07.20.a,2017.0,7.0,20.0,USA,Board_Activity,Great_White,Unprovoked,I,M,N
2017.07.14.b,2017.0,7.0,14.0,USA,Board_Activity,Great_White,Unprovoked,I,U,N
2017.07.14.a,2017.0,7.0,14.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2017.07.11,2017.0,7.0,11.0,USA,Paddle_Boat_Activity,Great_White,Boating,I,M,N
2017.07.09,2017.0,7.0,9.0,USA,Swimming_Activity,Bull,Unprovoked,I,M,N
2017.07.07.R,2017.0,7.0,7.0,MEX,Fishing_Activity,Tiger,Provoked,I,M,N
2017.07.07,2017.0,7.0,7.0,ZAF,Board_Activity,Great_White,Unprovoked,I,F,N
2017.06.21,2017.0,6.0,21.0,USA,Swimming_Activity,Unknown,Unprovoked,I,F,N
2017.06.19,2017.0,6.0,19.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.06.18.b,2017.0,6.0,18.0,USA,Swimming_Activity,Bull,Unprovoked,I,F,N
2017.06.18.a,2017.0,6.0,18.0,REU,Board_Activity,Bull,Unprovoked,I,U,N
2017.06.17,2017.0,6.0,17.0,ESP,Swimming_Activity,Unknown,Unprovoked,I,M,N
2017.06.05,2017.0,6.0,5.0,PYF,Board_Activity,Unknown,Unprovoked,I,M,N
2017.06.14.R,2017.0,6.0,14.0,BHS,Feeding_Activity,Unknown,Unprovoked,I,F,N
2017.06.11,2017.0,6.0,11.0,AUS,Board_Activity,Great_White,Unprovoked,I,M,N
2017.06.10.b,2017.0,6.0,10.0,AUS,Board_Activity,Broad_Nose_Seven_Gill,Unprovoked,I,F,N
2017.06.10.a,2017.0,6.0,10.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.06.07.R,2017.0,6.0,7.0,OTH,Board_Activity,Starry_Smoothhound,Unprovoked,I,M,N
2017.06.04,2017.0,6.0,4.0,USA,Spearfishing_Activity,Unknown,Unprovoked,I,M,N
2017.06.02,2017.0,6.0,2.0,BHS,Snorkeling_Activity,Tiger,Unprovoked,I,F,N
2017.05.30,2017.0,5.0,30.0,USA,Shark_Handling_Activity,Unknown,Provoked,I,F,N
2017.05.28,2017.0,5.0,28.0,USA,Feeding_Activity,Tiger,Unprovoked,I,M,N
2017.05.12,2017.0,5.0,12.0,OTH,Spearfishing_Activity,Unknown,Unprovoked,I,M,N
2017.05.06.R,2017.0,5.0,6.0,AUS,Shark_Hunting_Activity,Unknown,Provoked,I,M,N
