2018.04.15.d,2018,4,15,OTH,Swimming_Activity,Bull,Unprovoked,I,M,N
2018.04.15.c,2018,4,15,OTH,Swimming_Activity,Unknown,Unprovoked,I,M,N
2018.04.15.b,2018,4,15,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2018.04.15.a,2018,4,15,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2018.04.14,2018,4,14,BHS,Board_Activity,Tiger,Unprovoked,I,M,N
2018.04.09,2018,4,9,NCL,Board_Activity,Unknown,Unprovoked,U,U,N
2018.04.05,2018,4,5,BHS,Swimming_Activity,Bull,Unprovoked,I,M,N
2018.04.03,2018,4,3,ZAF,Board_Activity,Great_White,Unprovoked,I,M,N
2018.03.31,2018,3,31,USA,Board_Activity,Tiger,Unprovoked,I,M,N
2018.03.14,2018,3,14,AUS,Wading_Activity,Unspecified_Wobbegong,Unprovoked,I,M,N
2018.03.09.b,2018,3,9,AUS,Swimming_Activity,Unknown,Unprovoked,I,M,N
2018.03.09.a,2018,3,9,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2018.02.24,2018,2,24,ZAF,Scuba_Diving_Activity,Oceanic_Blacktip,Unprovoked,I,M,N
2018.02.23,2018,2,23,AUS,Swimming_Activity,Great_White,Unprovoked,I,F,N
2018.02.17,2018,2,17,AUS,Paddle_Boat_Activity,Unknown,Provoked,I,M,N
2018.02.15,2018,2,15,AUS,Wading_Activity,Bull,Unprovoked,I,M,N
2018.02.03,2018,2,3,OTH,Snorkeling_Activity,Galapagos_Reef,Unprovoked,I,M,N
2018.01.28,2018,1,28,AUS,Unknown_Activity,Bull,Unprovoked,I,M,N
2018.01.21,2018,1,21,NCL,Spearfishing_Activity,Bull,Unprovoked,I,M,N
2018.01.14,2018,1,14,AUS,Free_Diving_Activity,Grey_Reef,Unprovoked,I,M,N
2018.01.13,2018,1,13,AUS,Free_Diving_Activity,Great_White,Unprovoked,I,M,N
2018.01.12,2018,1,12,OTH,Board_Activity,Unknown,Unprovoked,I,M,N
2018.01.05,2018,1,5,AUS,Board_Activity,Unspecified_Wobbegong,Unprovoked,I,M,N
2017.12.31,2017,12,31,USA,Board_Activity,Tiger,Unprovoked,I,F,N
2017.12.30,2017,12,30,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2017.12.21,2017,12,21,OTH,Wading_Activity,Sand_Tiger,Provoked,I,M,N
2017.12.09,2017,12,9,BHS,Snorkeling_Activity,Nurse,Unprovoked,I,F,N
2017.11.30.b,2017,11,30,OTH,Scuba_Diving_Activity,Tiger,Unprovoked,I,U,N
2017.11.30.a,2017,11,30,OTH,Scuba_Diving_Activity,Tiger,Unprovoked,I,F,Y
2017.11.25.R,2017,11,25,OTH,Sea_Disaster,Great_Blue,Sea Disaster,M,S,Y
2017.11.24,2017,11,24,USA,Spearfishing_Activity,Great_White,Unprovoked,I,M,N
2017.11.18,2017,11,18,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2017.11.13.R,2017,11,13,OTH,Board_Activity,Unknown,Unprovoked,I,M,N
2017.11.13,2017,11,13,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2017.11.04,2017,11,4,CUB,Wading_Activity,Tiger,Unprovoked,I,M,Y
2017.11.02,2017,11,2,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.10.31.R,2017,10,31,AUS,Snorkeling_Activity,Cookiecutter,Unprovoked,I,M,N
2017.10.28,2017,10,28,AUS,Board_Activity,Unspecified_Wobbegong,Unprovoked,I,M,N
2017.10.26,2017,10,26,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.10.23.c,2017,10,23,OTH,Swimming_Activity,Unknown,Unprovoked,I,M,N
2017.10.23.b,2017,10,23,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.10.23.a,2017,10,23,USA,Swimming_Activity,Unknown,Unprovoked,I,F,N
2017.10.22,2017,10,22,AUS,Paddle_Boat_Activity,Great_White,Unprovoked,I,F,N
2017.10.21,2017,10,21,NZL,Paddle_Boat_Activity,Unknown,Unprovoked,I,M,N
2017.10.18,2017,10,18,USA,Swimming_Activity,Spinner,Unprovoked,I,M,N
2017.10.09,2017,10,9,USA,Board_Activity,Tiger,Unprovoked,I,M,N
2017.10.05,2017,10,5,USA,Snorkeling_Activity,Unknown,Unprovoked,I,F,N
2017.09.25.b,2017,9,25,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.09.25.a,2017,9,25,AUS,Board_Activity,Great_White,Unprovoked,I,F,N
2017.09.24.a,2017,9,24,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.09.20,2017,9,20,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.09.16.b,2017,9,16,ESP,Board_Activity,Porbeagle,Unprovoked,I,M,N
2017.09.16.a,2017,9,16,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.09.15.a,2017,9,15,OTH,Fishing_Activity,Unknown,Unknown,I,M,N
2017.09.14,2017,9,14,AUS,Fishing_Activity,Great_White,Boating,U,U,N
2017.09.13,2017,9,13,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.09.10.b,2017,9,10,AUS,Swimming_Activity,Unknown,Unprovoked,I,M,N
2017.09.10.a,2017,9,10,AUS,Board_Activity,Great_White,Unprovoked,I,M,N
2017.09.06.R,2017,9,6,SLB,Spearfishing_Activity,Unknown,Unprovoked,I,M,N
